person_id,name,job,nationality
P000869,금명,문인,한국
P000870,금바위,문인,한국
P000871,금방울,문인,한국
P000872,금별,문인,한국
P000873,금새,문인,한국
P000874,금샛별,문인,한국
P000875,금솟,문인,한국
P000876,금순,문인,한국
P000877,금원,문인,한국
P000878,금원사,문인,한국
P000879,금잔듸,문인,한국
P000880,금조,문인,한국
P000881,금주,문인,한국
P000882,금중차진,문인,한국
P000883,금창숙,문인,한국
P000884,금천관,문인,한국
P000885,금철,문인,한국
P000886,금파,문인,한국
P000887,금파생,문인,한국
P000888,금포연,문인,한국
P000889,금학연,문인,한국
P000890,금협산인저,문인,한국
P000891,금화랑,문인,한국
P000892,금화성,문인,한국
P000893,긍,문인,한국
P000894,긍종,문인,한국
P000895,긔뎨,문인,한국
P000896,긔이부,문인,한국
P000897,긔진,,한국
P000898,기,문인,한국
P000899,기극자,문인,한국
P000900,기남,문인,한국
P000901,기노시타 시데타로,미술가,일본
P000902,기덕,문인,한국
P000903,기독복,문인,한국
P000904,기독신보동경지국,문인,한국
P000905,기동,문인,한국
P000906,기린굴인,문인,한국
P000907,기림,문인,한국
P000908,기만,문인,한국
P000909,기몽,문인,한국
P000910,기무라 게이지,미술가,일본
P000911,기무라 고이치로,미술가,일본
P000912,기무라 다이켄,미술가,일본
P000913,기미생,문인,한국
P000914,기백,문인,한국
P000915,기병,문인,한국
P000916,기복,문인,한국
P000917,기봉,문인,한국
P000918,기봉규,문인,한국
P000919,기사다 히데토,미술가,일본
P000920,기서,문인,한국
P000921,기석,문인,한국
P000922,기섭,문인,한국
P000923,기성인,문인,한국
P000924,기세,문인,한국
P000925,기수,문인,한국
P000926,기안,문인,한국
P000927,기언,문인,한국
P000928,기영외,문인,한국
P000929,기용,문인,한국
P000930,기원,문인,한국
P000931,기월해,문인,한국
P000932,기윤,문인,한국
P000933,기응도,문인,한국
P000934,기이부,문인,한국
P000935,기일,문인,한국
P000936,기일박사,문인,한국
P000937,기자,문인,한국
P000938,기정,문인,한국
P000939,기제,문인,한국
P000940,기준,문인,한국
P000941,기진,문인,한국
P000942,기철,문인,한국
P000943,기타 레이키치,학자,일본
P000944,기타가와 후유히코,문인,일본
P000945,기타카와 후유히코,문인,일본
P000946,기타하라 다이스케,미술가,일본
P000947,기탑승,문인,한국
P000948,기태,문인,한국
P000949,기택정,문인,한국
P000950,기현,문인,한국
P000951,기호,문인,한국
P000952,기홍,문인,한국
P000953,기환,문인,한국
P000954,기효,문인,한국
P000955,긴내,문인,한국
P000956,긴바라 세이고,학자,일본
P000957,길록,문인,한국
P000958,길리서,문인,한국
P000959,길명순,문인,한국
P000960,길산,문인,한국
P000961,길생,문인,한국
P000962,길석,문인,한국
P000963,길손림,문인,한국
P000964,길수,문인,한국
P000965,길순,문인,한국
P000966,길용,문인,한국
P000967,길정희,문인,한국
P000968,길진,문인,한국
P000969,길진경,문인,한국
P000970,길진섭,미술가,한국
P000971,길춘배,문인,한국
P000972,김,문인,한국
P000973,김(학)준,미술가,한국
P000974,김가연,문인,한국
P000975,김갑룡,문인,한국
